_id,agent,last_updated
22,"","2013-01-29 00:00"
21,"United Travel","2013-01-29 00:00"
20,Transnasional,"2013-01-29 00:00"
19,"Sykt Pengangkutan Hamid Yacob S/B","2013-01-29 00:00"
18,"Super Nice","2013-01-29 00:00"
17,"Star Qisna","2013-01-29 00:00"
16,Starmart,"2013-01-29 00:00"
15,Plusliner,"2013-01-29 00:00"
14,Nice,"2013-01-29 00:00"
13,"Lion Star","2013-01-29 00:00"
12,"KPB Ekspres","2013-01-29 00:00"
11,"Konsortium Bas Ekspres","2013-01-29 00:00"
10,KKKL,"2013-01-29 00:00"
9,Kesatuan,"2013-01-29 00:00"
8,"Gunung Raya Ekspres","2013-01-29 00:00"
7,"GT Express","2013-01-29 00:00"
6,"Etika Express","2013-01-29 00:00"
5,"Ekspres Senibudaya","2013-01-29 00:00"
4,"Eagle Ekspres","2013-01-29 00:00"
3,"Alisan Express","2013-01-29 00:00"
2,Aeroline,"2013-01-29 00:00"
1,"AB Ekspres","2013-01-29 00:00"
