_id,city_en,city_ms,city_zh
76,Putrajaya,Putrajaya,Putrajaya
75,Tumpat,Tumpat,Tumpat
74,"Gua Musang","Gua Musang","Gua Musang"
73,Bachok,Bachok,Bachok
72,"Kuala Krai","Kuala Krai","Kuala Krai"
71,"Rantau Panjang","Rantau Panjang","Rantau Panjang"
70,Kemaman,Kemaman,Kemaman
69,"Kuala Besut","Kuala Besut","Kuala Besut"
68,Jerteh,Jerteh,Jerteh
67,Dungun,Dungun,Dungun
66,Triang,Teriang,Teriang
65,"Kuala Rompin","Kuala Rompin","Kuala Rompin"
64,"Kuala Lipis","Kuala Lipis","Kuala Lipis"
63,Jerantut,Jerantut,Jerantut
62,Bentong,Bentong,Bentong
61,Raub,Raub,Raub
60,"Alor Gajah","Alor Gajah","Alor Gajah"
59,Tangkak,Tangkak,Tangkak
58,Labis,Labis,Labis
57,"Yong Peng","Yong Peng","Yong Peng"
56,Kluang,Kluang,Kluang
55,"Bandar Penawar","Bandar Penawar","Bandar Penawar"
54,"Simpang Renggam","Simpang Renggam","Simpang Renggam"
53,"Sg Rengit","Sg Rengit","Sg Rengit"
52,Kulai,Kulai,Kulai
51,"Pasir Gudang","Pasir Gudang","Pasir Gudang"
50,Pontian,Pontian,Pontian
49,Muar,Muar,Muar
48,"Batu Pahat","Batu Pahat","Batu Pahat"
47,"Kota Tinggi","Kota Tinggi","Kota Tinggi"
46,Mersing,Mersing,Mersing
45,Nilai,Nilai,Nilai
44,Gemas,Gemas,Gemas
43,Gemencheh,Gemencheh,Gemencheh
42,"Kuala Pilah","Kuala Pilah","Kuala Pilah"
41,Tampin,Tampin,Tampin
40,Grik,Gerik,Gerik
39,"Kuala Kangsar","Kuala Kangsar","Kuala Kangsar"
38,Manjung,Manjung,Manjung
37,Lumut,Lumut,Lumut
36,"Teluk Intan","Teluk Intan","Teluk Intan"
35,Kampar,Kampar,Kampar
34,Parit Buntar,Parit Buntar,Parit Buntar
33,Gurun,Gurun,Gurun
32,Sik,Sik,Sik
31,Kulim,Kulim,Kulim
30,Jitra,Jitra,Jitra
29,Segamat,Segamat,Segamat
28,Chaah,Chaah,Chaah
27,"Bukit Kayu Hitam","Bukit Kayu Hitam","Bukit Kayu Hitam"
26,Changloon,Changlun,Changlun
25,"Muadzam Shah","Muadzam Shah","Muadzam Shah"
24,"Kuala Terengganu","Kuala Terengganu",瓜拉丁加奴
23,"Bandar Jengka","Bandar Jengka",增卡市區
22,Temerloh,Temerloh,淡马鲁
21,"Sg Petani","Sg Petani",双溪大年
20,Kajang,Kajang,加央
19,LCCT,LCCT,廉价飞机场
18,"Shah Alam","Shah Alam",沙亚南
17,Klang,Klang,巴生
16,Kangar,Kangar,江沙
15,"Kuala Perlis","Kuala Perlis",瓜拉玻璃士
14,"Genting Highland","Genting Highland",云顶高原
13,Kuantan,Kuantan,关丹
12,Seremban,Seremban,森美兰
11,Malacca,Melaka,马六甲
10,"Kota Bharu","Kota Bharu",哥打巴鲁
9,"Alor Setar","Alor Setar",亚罗士打
8,"Johor Bahru","Johor Bahru",柔佛新山
7,Butterworth,Butterworth,北海
6,"Sg Buloh","Sg Buloh",白沙罗
5,Taiping,Taiping,太平
4,Puchong,Puchong,蒲种
3,Penang,"Pulau Pinang",槟城
2,"Kuala Lumpur","Kuala Lumpur",吉隆坡
1,Ipoh,Ipoh,怡保
