_id,operator,last_updated
19,"Mahligai Ekspres","2013-07-03 03:40"
18,Van,"2013-03-29 02:50"
17,"","2013-01-29 00:00"
16,Transnasional,"2013-01-29 00:00"
15,"Super Nice","2013-01-29 00:00"
14,"Starmart Express","2013-01-29 00:00"
13,"Shamisha Holiday Express","2013-01-29 00:00"
12,Seasons,"2013-01-29 00:00"
11,Plusliner,"2013-01-29 00:00"
10,Nice,"2013-01-29 00:00"
9,"Lion Star","2013-01-29 00:00"
8,"Konsortium Bas Ekspres","2013-01-29 00:00"
7,"Five Stars","2013-01-29 00:00"
6,"Era Mesra","2013-01-29 00:00"
5,Eagle,"2013-01-29 00:00"
4,"Cepat Sedia","2013-01-29 00:00"
3,"Alisan Express","2013-01-29 00:00"
2,Aeroline,"2013-01-29 00:00"
1,"707 Super Nice","2013-01-29 00:00"
