_id,city_id,station_en,station_ms,station_zh,latitude,longitude,last_updated
94,7,"Jalan Pantai","Jalan Pantai","Jalan Pantai",5448370,100380349,"2013-03-29 02:50"
93,77,"Lee Gardens","Lee Gardens","Lee Gardens",7005543,100471515,"2013-03-16 07:00"
92,1,"Terminal Amanjaya","Terminal Amanjaya","Terminal Amanjaya",4669702,101073382,"2013-01-11 15:36"
91,2,"KL Sentral","KL Sentral","KL Sentral",3133339,101686636,"2013-01-11 15:36"
90,76,"Putrajaya Sentral","Putrajaya Sentral","Putrajaya Sentral",2931394,101671090,"2013-01-11 15:36"
89,75,Tumpat,Tumpat,道北,6196302,102170738,"2013-01-11 15:36"
88,74,"Gua Musang","Gua Musang",话望生,4861304,101959271,"2013-01-11 15:36"
87,73,Bachok,Bachok,万捷,6060181,102401708,"2013-01-11 15:36"
86,72,"Kuala Krai","Kuala Krai",瓜拉吉赖,5530668,102201861,"2013-01-11 15:36"
85,71,"Rantau Panjang","Rantau Panjang",兰斗班让,6019286,101978552,"2013-01-11 15:36"
84,10,"Kota Bharu","Kota Bharu",哥打巴鲁,6128245,102238317,"2013-01-11 15:36"
83,70,Kemaman,Kemaman,甘马挽,4206629,103434915,"2013-01-11 15:36"
82,69,"Kuala Besut","Kuala Besut",瓜拉勿述,5817517,102569549,"2013-01-11 15:36"
81,68,Jerteh,Jerteh,日底,5736958,102495273,"2013-01-11 15:36"
80,67,Dungun,Dungun,龙运,4756125,103411624,"2013-01-11 15:36"
79,66,Triang,Teriang,直凉,3245078,102414635,"2013-01-11 15:36"
78,65,"Kuala Rompin","Kuala Rompin",瓜拉云冰,2800441,103486092,"2013-01-11 15:36"
77,64,"Kuala Lipis","Kuala Lipis",瓜拉立卑,4188675,102052397,"2013-01-11 15:36"
76,63,Jerantut,Jerantut,而连突,3937930,102360863,"2013-01-11 15:36"
75,62,Bentong,Bentong,文冬,3521924,101910230,"2013-01-11 15:36"
74,61,Raub,Raub,劳勿,3792211,101855995,"2013-01-11 15:36"
