_id,company,agent_id,bus_brand,operator_id,from_city_id,from_station_id,to_city_id,to_station_id,scheduled_departure,actual_departure,arrival_time,counter,overall,safety,comfort,comment,last_updated
124,"",22,Van,18,77,93,7,3,"2013-02-16 13:30","2013-02-16 13:15","2013-02-16 18:35","",4,4,4,"","2013-03-29 02:50"
26,"Alisan Express",3,"Lion Star",9,2,6,3,4,"2012-01-08 23:59","2012-01-09 00:27",Cancelled,"",0,0,0,"lied, said bus stopped at Komtar but it stopped at Sg Nibong instead","2013-03-29 02:50"
40,"Sykt Pengangkutan Hamid Yacob S/B",19,"Alisan Express",3,3,7,2,6,"2012-04-13 18:30",Cancelled,Cancelled,34,1,0,0,0,"2013-03-29 02:50"
123,Seasons,23,Van,18,4,3,93,77,"2013-02-15 05:00",Cancelled,Cancelled,"",0,0,0,"Never came! Ended up buying airline ticket! Called number on ticket and was told bus was on its way. Called back later and he had turned off his phone! Terrible, terrible, will never buy from Seasons counter at Komtar again!","2013-03-29 02:50"
122,"",22,Van,18,77,93,94,7,"2013-02-16 13:30","2013-02-16 13:15","2013-02-16 18:11","",4,4,4,"","2013-03-29 02:50"
121,Transnasional,20,Transnasional,16,2,6,3,7,"2013-03-22 16:00","2013-03-22 16:06","2013-03-22 21:09",5,3,4,3,"","2013-03-26 02:45"
120,Plusliner,15,Plusliner,11,2,3,3,7,"2013-03-06 13:00","2013-03-06 13:00","2013-03-06 18:03",4,4,4,3,"accident happened on bridge cause delay","2013-03-07 07:30"
119,Transnasional,20,Transnasional,16,2,2,3,7,"2013-03-03 16:30","2013-03-03 16:24","2013-03-03 20:57",5,3,2,2,"","2013-03-07 07:30"
118,Transnasional,20,Transnasional,16,2,6,3,7,"2013-03-03 16:00","2013-03-03 16:00","2013-03-03 20:57",5,3,2,2,"","2013-03-07 07:30"
117,"KPB Ekspres",12,Seasons,12,3,7,2,6,"2013-03-01 18:30","2013-03-01 18:38","2013-03-01 23:30",2,3,2,2,"driver smoked on bus, played annoying music, comfortable seats","2013-03-07 07:30"
116,"KPB Ekspres",12,Seasons,12,3,7,2,2,"2013-03-01 18:30","2013-03-01 18:38","2013-03-01 23:19",2,3,2,2,"driver smoked on bus, played annoying music, comfortable seats","2013-03-07 07:30"
115,Plusliner,15,Plusliner,11,2,3,3,7,"2013-01-20 17:00","2013-01-20 17:03","2013-01-20 21:47",4,4,3,3,"very bumpy","2013-01-21 02:00"
114,Plusliner,15,Plusliner,11,2,6,3,7,"2013-01-20 16:40","2013-01-20 16:41","2013-01-20 21:47",4,4,3,3,"very bumpy","2013-01-21 02:00"
113,Starmart,16,"Cepat Sedia",4,3,7,2,6,"2013-01-18 18:30","2013-01-18 19:13","2013-01-19 00:20",16/17,2,2,4,"wasted 20 minutes counting passengers when we were already 20 minutes late, weak bus barely able to make it up hill near Ipoh","2013-01-21 02:00"
5,Nice,14,Nice,10,2,3,3,10,"2011-11-04 18:00","2011-11-04 18:12","2011-11-04 23:56","",5,5,5,"","2013-01-13 07:20"
112,Plusliner,15,Plusliner,11,2,3,3,7,"2013-01-06 20:00","2013-01-06 20:07","2013-01-06 23:45","",3,3,2,"","2013-01-11 16:36"
111,Plusliner,15,Plusliner,11,2,6,3,7,"2013-01-06 19:30","2013-01-06 19:45","2013-01-06 23:45","",3,3,2,"","2013-01-11 15:36"
110,Transnasional,20,Transnasional,16,3,7,2,6,"2013-01-05 10:30","2013-01-05 10:55","2013-01-05 15:57",9,2,2,1,"stopped in Ipoh for 45 minutes, driver smoked on bus, played loud annoying music","2013-01-11 15:36"
109,Transnasional,20,Transnasional,16,3,7,2,2,"2013-01-05 10:30","2013-01-05 10:55","2013-01-05 15:36",9,2,2,1,"stopped in Ipoh for 45 minutes, driver smoked on bus, played loud annoying music","2013-01-11 15:36"
108,Plusliner,15,Plusliner,11,3,7,2,3,"2013-01-01 07:30","2013-01-01 07:36","2013-01-01 12:40",9,3,3,4,"","2013-01-11 15:36"
107,Transnasional,20,Transnasional,16,2,6,3,7,"2012-11-25 16:00","2012-11-25 16:03","2012-11-25 20:44",5,3,4,2,"","2013-01-11 15:36"
106,Transnasional,20,Transnasional,16,2,2,3,7,"2012-11-25 16:30","2012-11-25 16:32","2012-11-25 20:44",5,3,4,2,"","2013-01-11 15:36"
105,Transnasional,20,Transnasional,16,3,7,2,6,"2012-11-24 09:00","2012-11-24 09:03","2012-11-24 15:08",9,3,4,2,"stopped 40 minutes at Terminal Amanjaya Ipoh, too complicated to get off bus then find at another location","2013-01-11 15:36"
104,Transnasional,20,Transnasional,16,3,7,2,2,"2012-11-24 09:00","2012-11-24 09:03","2012-11-24 14:44",9,3,4,2,"stopped 40 minutes at Terminal Amanjaya Ipoh, too complicated to get off bus then find at another location","2013-01-11 15:36"
103,"Sykt Pengangkutan Hamid Yacob S/B",19,"Konsortium Bas Ekspres",8,3,7,2,6,"2012-09-17 11:00","2012-09-17 11:12","2012-09-17 17:34",34,1,1,2,"12.15pm-12.54pm, we were waiting for bus repaired. then break time it took 2pm-2.55pm. again another break at 4.17pm-4.30pm. driver drive very fast.","2013-01-11 15:36"
102,Transnasional,20,Transnasional,16,2,2,3,7,"2012-09-08 16:30","2012-09-08 16:34","2012-09-08 21:06",5,3,4,3,"stop at duta station at 4.36 pm and exchange bus.","2013-01-11 15:36"
101,Transnasional,20,Transnasional,16,2,6,3,7,"2012-09-08 16:00","2012-09-08 16:02","2012-09-08 21:06",5,3,4,3,"stop at duta station at 4.36 pm and exchange bus.","2013-01-11 15:36"
100,"Star Qisna",17,"Starmart Express",14,2,6,3,7,"2012-09-02 16:00","2012-09-02 16:55","2012-09-02 21:56",15,1,2,2,"guy at counter lied, said bus was scheduled for 4pm but it was really scheduled for 4:30pm and didn't actually leave until 5pm, paid extra for massage chair but there was none, was told bus was direct to sg nibong with no stops but stopped at butterworth","2013-01-11 15:36"
99,"Star Qisna",17,"Starmart Express",14,2,6,7,19,"2012-09-02 16:00","2012-09-02 16:55","2012-09-02 21:23",15,1,2,2,"guy at counter lied, said bus was scheduled for 4pm but it was really scheduled for 4:30pm and didn't actually leave until 5pm, paid extra for massage chair but there was none, was told bus was direct to sg nibong with no stops but stopped at butterworth","2013-01-11 15:36"
98,"Sykt Pengangkutan Hamid Yacob S/B",19,"Five Stars",7,3,7,2,6,"2012-08-31 17:00","2012-08-31 17:06","2012-08-31 22:04",34,4,5,5,"supposed to be express to Puduraya but stopped at 1 Utama","2013-01-11 15:36"
97,"Sykt Pengangkutan Hamid Yacob S/B",19,"Five Stars",7,3,7,2,8,"2012-08-31 17:00","2012-08-31 17:06","2012-08-31 21:36",34,4,5,5,"supposed to be express to Puduraya but stopped at 1 Utama","2013-01-11 15:36"
96,"Etika Express",6,Seasons,12,2,2,3,7,"2012-07-29 21:30","2012-07-29 21:53","2012-07-30 02:41",46,2,3,2,"","2013-01-11 15:36"
95,"Etika Express",6,Seasons,12,2,2,7,19,"2012-07-29 21:30","2012-07-29 21:53","2012-07-30 02:19",46,2,3,2,"","2013-01-11 15:36"
94,"Etika Express",6,Seasons,12,2,"6",3,7,"2012-07-29 21:00","2012-07-29 21:29","2012-07-30 02:41",46,2,3,2,"","2013-01-11 15:36"
93,"Etika Express",6,Seasons,12,2,"6",7,19,"2012-07-29 21:00","2012-07-29 21:29","2012-07-30 02:19",46,2,3,2,"","2013-01-11 15:36"
92,"Gunung Raya Ekspres",8,"Konsortium Bas Ekspres",8,3,7,2,6,"2012-07-27 19:30","2012-07-27 20:09","2012-07-28 01:14","28/29",2,2,2,"","2013-01-11 15:36"
91,"Gunung Raya Ekspres",8,"Konsortium Bas Ekspres",8,3,7,2,2,"2012-07-27 19:30","2012-07-27 20:09","2012-07-28 01:04","28/29",2,2,2,"","2013-01-11 15:36"
90,"Gunung Raya Ekspres",8,"Konsortium Bas Ekspres",8,3,7,6,"","2012-07-27 19:30","2012-07-27 20:09","2012-07-28 00:46","28/29",2,2,2,"","2013-01-11 15:36"
